sub_id,Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,consent,citizen,us_location,prolificID_typed,selfBFI_1,selfBFI_2,selfBFI_3,selfBFI_4,selfBFI_5,selfBFI_6,selfBFI_7,selfBFI_8,selfBFI_9,selfBFI_10,selfBFI_11,selfBFI_12,selfBFI_13,selfBFI_14,selfBFI_15,selfBFI_16,selfBFI_17,selfBFI_18,selfBFI_19,selfED_1,selfED_2,selfED_3,selfED_4,selfED_5,qcheck_bfi_notsupport,qcheck2_bfi_notsupport,SterBFIAnti_1,SterBFIAnti_2,SterBFIAnti_3,SterBFIAnti_4,SterBFIAnti_5,SterBFIAnti_6,SterBFIAnti_7,SterBFIAnti_8,SterBFIAnti_9,SterBFIAnti_10,SterBFIAnti_11,SterBFIAnti_12,SterBFIAnti_13,SterBFIAnti_14,SterBFIAnti_15,SterBFIAnti_16,SterBFIAnti_17,SterBFIAnti_18,SterBFIAnti_19,SterEDAnti_1,SterEDAnti_2,SterEDAnti_3,SterEDAnti_4,SterEDAnti_5,qcheck_bfi_trump,qcheck2_bfi_trump,SterBFITrump_1,SterBFITrump_2,SterBFITrump_3,SterBFITrump_4,SterBFITrump_5,SterBFITrump_6,SterBFITrump_7,SterBFITrump_8,SterBFITrump_9,SterBFITrump_10,SterBFITrump_11,SterBFITrump_12,SterBFITrump_13,SterBFITrump_14,SterBFITrump_15,SterBFITrump_16,SterBFITrump_17,SterBFITrump_18,SterBFITrump_19,SterEDTrump_1,SterEDTrump_2,SterEDTrump_3,SterEDTrump_4,SterEDTrump_5,opin_pol,opin_pol_lastchance,opin_pol2,day_support_trump_targ,questionable_pt,qcheck_targ_trump,qcheck2_targ_trump,TargBFITrump_1,TargBFITrump_2,TargBFITrump_3,TargBFITrump_4,TargBFITrump_5,TargBFITrump_6,TargBFITrump_7,TargBFITrump_8,TargBFITrump_9,TargBFITrump_10,TargBFITrump_11,TargBFITrump_12,TargBFITrump_13,TargBFITrump_14,TargBFITrump_15,TargBFITrump_16,TargBFITrump_17,TargBFITrump_18,TargBFITrump_19,TargEDTrump_1,TargEDTrump_2,TargEDTrump_3,TargEDTrump_4,TargEDTrump_5,day_nosupport_targ,qcheck_targ_nosupport,qcheck2_targ_nosupport,TargBFIAnti_1,TargBFIAnti_2,TargBFIAnti_3,TargBFIAnti_4,TargBFIAnti_5,TargBFIAnti_6,TargBFIAnti_7,TargBFIAnti_8,TargBFIAnti_9,TargBFIAnti_10,TargBFIAnti_11,TargBFIAnti_12,TargBFIAnti_13,TargBFIAnti_14,TargBFIAnti_15,TargBFIAnti_16,TargBFIAnti_17,TargBFIAnti_18,TargBFIAnti_19,TargEDAnti_1,TargEDAnti_2,TargEDAnti_3,TargEDAnti_4,TargEDAnti_5,cont_pol_trump,fund_pol_trump,lib_pol_trump_8,cons_pol_trump_8,threat_pol_trump,ident_pol_trump,cont_pol_antitrump,fund_pol_antitrump,lib_pol_antitrump_8,cons_pol_antitrump_8,threat_pol_antitrump,ident_pol_antitrump,poli_orient_1,poli_orient_2,poli_orient_3,house_most_members,congress_percent_1,congress_percent_2,age,gender,gender_3_TEXT,education,parent_education,race,race_8_TEXT,country_birth,country_birth_2_TEXT,country_raised,country_raised_2_TEXT,native_language,native_language_2_TEXT,IPAddress
1,412,10/14/2020 13:28,29.57200623,-95.54000092,1,1,1,5eda6c949bd93666972eead9,3,4,3,3,2,4,3,5,3,2,3,2,4,4,4,2,4,2,2,5,5,4,1,4,2,,3,4,3,4,4,4,4,5,3,2,3,2,3,4,4,3,5,2,4,5,4,2,4,4,1,,2,3,2,2,2,3,4,5,2,3,5,3,3,4,3,4,3,4,2,2,4,2,5,3,2,,,Drinks a cup of coffee in the morning while getting her kids ready. Then going to work at a consulting firm where she just talks about her kids all day. After work she goes gets her kids and prepares dinner,1,1,,2,3,2,2,2,2,5,4,3,4,3,2,3,3,2,3,2,4,4,2,3,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,8,5,2,2,2,2,6,75,25,20,1,,5,22,6,,1,,1,,1,,98.198.110.61
2,392,10/14/2020 13:37,37.5657959,-85.26679993,1,1,1,5d30d83da51933001af2ec47,4,3,4,4,2,2,3,3,3,3,2,2,3,2,2,2,2,4,,4,1,4,4,3,2,,3,5,3,4,4,2,2,2,4,3,2,3,4,3,2,3,3,3,4,4,3,3,3,3,1,,1,3,3,3,3,1,4,3,3,2,4,4,1,2,1,4,3,3,1,2,4,2,3,3,2,,,Jen hangs out with her white friends on the daily hating on minorities and blaming them for all their problems when in reality it's the party and politics they support that continue to oppress them. She works a crappy job and does crappy things hoping it will get better but it never does because it is a system designed for the little people to fail.,1,1,,2,5,2,4,2,4,3,3,2,3,3,4,4,3,2,4,2,3,4,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,8,5,5,1,1,1,2,41,59,33,1,,3,22,6,,1,,1,,1,,67.140.146.51
3,636,10/14/2020 13:40,45.66520691,-122.5214996,1,1,1,5e3abacf0d41ad2b850b56f5,4,4,4,4,2,2,3,2,4,2,2,3,2,2,2,2,4,2,2,5,2,4,3,4,2,,4,5,4,5,5,2,2,4,4,1,3,5,3,3,3,4,3,3,4,5,4,3,3,2,1,,2,1,2,2,1,4,4,2,2,5,3,2,4,4,2,3,2,2,3,2,5,1,4,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jen is a pediatric nurse who enjoys hiking and rescues cats. ,2,,4,5,2,2,4,3,2,2,4,3,4,4,4,4,2,4,3,2,4,4,,4,4,2,,,,,,,3,2,1,9,3,4,2,1,3,2,45,58,44,2,,4,21,6,,1,,1,,1,,71.193.217.142
4,814,10/14/2020 13:49,33.59030151,-101.9371033,1,1,1,5e861812b23b0a22ef59c4ee,2,4,1,1,3,5,4,2,1,1,5,3,5,4,4,1,2,2,4,2,5,5,2,5,2,,3,5,2,4,4,4,4,2,3,1,4,3,5,5,4,2,3,2,4,4,5,2,5,4,1,,1,1,4,2,1,4,4,3,1,4,4,3,4,3,2,1,4,5,2,1,5,2,5,4,2,,,"Jen wakes up and goes to work. She cares about becoming the team lead at work and doesn't care who she hurts or tramples over on her way to the top. After work, she goes to happy hour and drinks terrible, watered-down beer with her white supremacist friends. They watch terrible sitcoms written by male writers play in the background and laugh about how great the lame jokes are. ",1,1,,1,2,2,2,1,5,4,2,1,3,4,2,4,2,3,1,4,4,1,4,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,10,5,3,1,1,2,2,35,55,30,2,,5,21,4,,1,,1,,1,,107.131.93.60
5,1095,10/14/2020 13:54,35.11309814,-106.5781021,1,1,1,5ac2dce4436f550001ffc1fc,5,3,1,4,5,1,3,1,2,1,5,2,4,5,4,4,1,1,5,4,5,4,4,3,2,,4,4,2,3,4,3,4,3,2,1,3,4,4,4,4,2,4,2,2,4,3,3,4,2,1,,1,2,3,2,2,4,4,2,3,2,3,2,3,4,4,2,4,4,4,2,3,2,2,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jen loves a morning hike, she loves nature. Jen has a garden and does art work on the side. She could be a art teacher. ",2,,2,5,1,4,5,2,2,1,3,1,5,5,5,4,5,4,1,1,4,4,4,3,4,4,,,,,,,5,5,0,9,2,4,2,2,2,2,45,54,66,2,,3,21,6,,1,,1,,1,,73.98.22.49
6,1266,10/14/2020 13:58,41.03010559,-92.40470123,1,1,1,5c78de2e8a34620011341ef5,4,4,3,4,5,4,1,1,1,2,4,4,5,5,4,2,3,1,5,3,5,5,4,4,2,,3,4,1,3,5,5,1,1,2,2,4,5,5,4,4,3,3,1,3,4,3,3,3,3,1,,1,3,1,5,2,5,4,1,2,2,5,3,3,3,4,2,1,3,3,3,3,2,5,3,2,,,"She seems to be a person who enjoys her work, and would like it to stay that way.",1,1,,2,4,1,1,2,4,2,1,1,3,4,4,4,5,2,3,2,3,4,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,8,2,4,2,3,3,3,50,60,18,1,,3,24,6,,1,,1,,1,,50.83.91.173
7,1047,10/14/2020 14:00,41.83070374,-71.39820099,1,1,1,5f021a50508c420991abd275,3,5,3,5,5,1,2,5,5,1,2,4,1,2,4,3,4,3,4,3,2,2,4,4,2,,3,5,3,5,4,3,3,3,5,1,2,4,3,3,4,3,3,2,3,4,3,3,3,3,1,,1,2,3,1,2,4,4,3,2,1,4,2,2,1,2,4,5,4,1,3,4,2,3,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probably wakes up and reads the news and groans, goes about her day habitually, work, maybe spends some free time either steeping in politics or avoiding them.",2,,3,4,3,5,4,3,3,3,4,1,4,5,4,3,4,3,3,1,3,3,3,3,3,4,,,,,,,5,5,0,7,4,4,1,1,1,3,75,60,28,3,non-binary,5,23,6,,1,,1,,1,,72.92.237.182
8,949,10/14/2020 14:02,34.07969666,-83.93280029,1,1,1,5f51288315e3663294fb310f,2,4,3,4,3,4,3,1,4,1,4,2,4,4,5,1,3,1,4,4,5,5,1,4,2,,1,1,4,1,5,4,5,2,5,1,4,1,1,1,1,1,5,5,1,1,4,1,5,1,1,,1,1,2,5,1,5,3,1,3,5,2,1,4,4,1,1,3,4,5,1,5,2,3,5,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Drinks black coffee and eats egg white omelets with kale. Rides public transportation to her job at a dot com company. Wants a boyfriend but hates dating apps. Likes to drink wine at dinner. And goes home to her apartment she shares with 2 friends. Reads an Emily Bronte novel before bed.,2,,3,3,4,5,5,1,2,1,1,1,5,4,5,4,4,4,1,2,5,3,2,1,2,1,,,,,,,5,1,,10,3,2,3,2,5,3,62,37,34,2,,2,23,6,,1,,1,,1,,73.184.90.7
9,907,10/14/2020 14:05,37.86639404,-122.2570038,1,1,1,5c5c06b9ba12df000140be91,4,5,4,4,4,5,4,4,4,3,3,5,5,4,3,4,3,1,4,4,4,3,5,4,2,,3,4,3,4,4,3,3,3,4,2,4,4,3,2,4,4,4,1,2,4,4,4,3,4,1,,3,2,3,4,2,2,4,3,3,5,3,1,3,2,3,4,4,4,4,5,3,1,3,3,2,,,"Jen spends time in her community and sees herself as very religious. She worked a job that did not require a college degree, but she has done well for herself regardless, but now that she has three children, she decided to become a stay-at-home mom to homeschool her children. They all go to church regularly and volunteer in the community through the church. She sees herself as a very open and caring person, but her community has very little diversity.",1,1,,3,4,2,4,2,2,1,2,1,5,4,2,5,4,1,5,1,2,5,2,4,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,7,4,4,2,1,2,2,45,53,28,2,,3,24,6,,1,,1,,1,,67.188.174.208
10,673,10/14/2020 15:11,42.23849487,-83.17829895,1,1,1,5685850c333cbd000d4e042f,4,3,3,4,1,1,3,2,2,5,1,5,4,3,2,4,2,2,5,3,5,3,5,2,2,,4,4,4,5,5,3,3,5,5,2,3,4,4,2,5,3,5,1,1,4,5,4,3,3,1,,1,1,5,1,1,5,4,1,2,5,5,1,3,4,4,1,4,4,4,2,5,1,4,1,2,,,"Jen looks like someone that wakes up early to go to her office job. She'll do her work and have a packed lunch. When she gets off of work, she'll do some workout at the gym and come home to her two children and her husband. They'll cook dinner together and go to bed around 10:30",1,1,,1,4,1,3,2,4,3,2,2,2,5,4,5,4,4,4,2,2,5,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,6,2,2,3,2,4,6,62,57,26,1,,2,23,6,,1,,1,,1,,98.224.141.219
